occurrenceID,eventID,basisOfRecord,taxonID,scientificName,recordedBy,occurrenceStatus,individualCount,organismQuantity,organismQuantityType,publicDisplay,dataAccess,lifeStage,sex,reproductiveCondition,behavior,covariateSample,preparations,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,identificationQualifier,identificationVerificationStatus,occurrenceRemarks,materialSampleID,recordNumber,organismRemarks,identificationID,diameter,diameter_flag,height,height_flag,pitchTubes,exitHoles,activeBranchCanker,inactiveBranchCanker,activeBoleCanker,inactiveBoleCanker,deadTop,percentLive,boleChar_text,boleChar_numeric,damageCodes,verbatimLatitude,verbatimLongitude
E10-PILA18,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,"lot of yellowing needles, NM",,,,,0.1,measured,1.4,measured,NONE,NONE,0,0,0,0,N,85,N,0,,37.51981391,-119.5276418
E10-PILA19,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,"NM, WF",,,,,0,measured,1,measured,NONE,NONE,0,0,0,0,N,98,N,0,,37.51970533,-119.5277144
E10-PILA20,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,"NM, WF",,,,,0,measured,1.1,measured,NONE,NONE,0,0,0,0,N,98,N,0,,37.51871103,-119.527802
E10-PILA21,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,"major MECH, but also seems to have WPBR photo",,,,,34.8,measured,23.4,measured,NONE,NONE,2,0,1,0,N,94,N,0,MECH,37.51804903,-119.527586
E10-PILA22,10,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",JEC|SWA|TMD,present,1,1,individual,yes,unrestricted,,,NA,,,,JEC|SWA|TMD,2023-08-17,,,,,on the way up,,,,,72.2,measured,39.9,measured,NONE,NONE,0,0,0,0,N,98,N,0,,37.51793797,-119.52784
E11-PILA1,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-07-07,,,,,"D?,flaglets, flags losing needles, little left supp",,,,,65.6,measured,32.3,measured,NONE,NONE,0,0,0,0,N,98,N,0,,37.64574756,-119.7121267
E11-PILA2,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,"D?, trees 2-4 are connected at base. cones.",,,,,63.3,measured,24.3,measured,NONE,DEND,0,0,0,0,N,98,Y,NA,,37.64584098,-119.7121453
E11-PILA3,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,SUS. 1 possible active branch canker. 2 possible inactive bole cankers. 2 dark branches near pitch. Cones. Dead branch peeling bark. Steaming pitch one area (yellow).,,,,,63.4,measured,34.9,measured,NONE,DEND,1,0,0,2,N,98,Y,NA,,37.64584099,-119.7121452
E11-PILA4,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,"D? trees 2-4 are connected at base. cones, flaglets.",,,,,42.2,measured,32.8,measured,NONE,DEND,0,0,0,0,N,97,Y,NA,,37.645841,-119.712145
E11-PILA5,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,"D? cones, dying branch towards top of canopy, dark at tip, rodent chews?",,,,,101.5,measured,38.8,measured,NONE,NONE,0,0,0,0,N,98,N,0,MAMM,37.64583848,-119.7121292
E11-PILA6,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-07-07,,,,,mech,,,,,6.4,measured,2.6,measured,NONE,NONE,0,0,0,0,N,97,N,0,LEAN|MECH,37.64594007,-119.7119558
E11-PILA7,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-07-07,,,,,"needle mining, winter flecking",,,,,7.1,measured,4,measured,NONE,NONE,0,0,0,0,N,98,N,0,LEAN,37.64594795,-119.7118588
E11-PILA8,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-07-07,,,,,"mech, new leader",,,,,44.4,measured,19.1,measured,NONE,DEND,0,0,0,0,N,97,N,0,BROK|MECH,37.64573503,-119.7115483
E11-PILA9,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,"D? cones, low canopy flagets (supp)",,,,,114.7,measured,32.9,measured,NONE,NONE,0,0,0,0,N,99,Y,NA,,37.64566344,-119.7119858
E11-PILA10,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,"D?, cones, healthy",,,,,53.4,measured,34.8,measured,NONE,NONE,0,0,0,0,N,98,Y,NA,,37.64565505,-119.7119772
E11-PILA11,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,"D?, cones, healthy",,,,,53.5,measured,32.6,measured,NONE,NONE,0,0,0,0,N,98,Y,NA,,37.64563849,-119.7119704
E11-PILA12,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,"D?, cones, healthy",,,,,110.9,measured,43.9,measured,NONE,NONE,0,0,0,0,N,99,Y,NA,,37.64538762,-119.7117532
E11-PILA13,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-07-07,,,,,mech,,,,,68.6,measured,4.2,measured,NONE,NONE,0,0,0,0,N,0,Y,NA,SD|BROK|MECH,37.64548553,-119.7118648
E11-PILA14,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-07-07,,,,,"needle mining, winter flecking, mech",,,,,0,measured,1.12,measured,NONE,NONE,0,0,0,0,N,98,N,0,MECH,37.64565584,-119.7116251
E11-PILA15,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-07-07,,,,,"mech, flag, one side no canopy due to fallen tree",,,,,19.1,measured,11.7,measured,NONE,DEND,0,0,0,0,N,80,Y,NA,LEAN|MECH,37.64568251,-119.711595
E11-PILA16,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-07-07,,,,,new leader,,,,,23.9,measured,11.8,measured,NONE,NONE,0,0,0,0,N,97,Y,NA,BROK,37.64597032,-119.7114066
E11-PILA17,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-07-07,,,,,NA,,,,,43,measured,28.5,measured,NONE,NONE,0,0,0,0,N,99,N,0,,37.64581107,-119.711286
E11-PILA18,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,"wood borers, cones",,,,,49.8,measured,32.7,measured,NONE,NONE,0,0,0,0,N,99,Y,NA,,37.6458862,-119.7112301
E11-PILA19,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-07-07,,,,,NA,,,,,92.2,measured,41.7,measured,NONE,NONE,0,0,0,0,N,98,Y,NA,,37.64588084,-119.7112221
E11-PILA20,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,cones,,,,,74.1,measured,40.9,measured,NONE,NONE,0,0,0,0,N,99,N,0,,37.64579914,-119.7111975
E11-PILA21,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,cones,,,,,81.4,measured,39.7,measured,NONE,NONE,0,0,0,0,N,99,N,0,,37.64580727,-119.7111946
E11-PILA22,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,"cones, mech",,,,,54.2,measured,33,measured,NONE,NONE,0,0,0,0,N,99,N,0,MECH,37.64580307,-119.7111811
E11-PILA23,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,"pale yellow pitch in dots <1.5m, cones, slight pitch high but source not notable",,,,,67.2,measured,40.5,measured,NONE,NONE,0,0,0,0,N,97,Y,NA,BIRD,37.64601708,-119.7111557
E11-PILA24,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,cones,,,,,84.4,measured,38.7,measured,NONE,NONE,0,0,0,0,N,98,Y,NA,,37.64600756,-119.7111446
E11-PILA25,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-07-07,,,,,new leader,,,,,44.8,measured,23.3,measured,NONE,NONE,0,0,0,0,N,90,Y,NA,DTOP|ABGR,37.64604774,-119.7110517
E11-PILA26,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,cones,,,,,83.2,measured,37.1,measured,NONE,NONE,0,0,0,0,N,99,Y,NA,,37.645898,-119.7110099
E11-PILA27,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,"bend 6m up, cones",,,,,80.6,measured,38,measured,NONE,NONE,0,0,0,0,N,99,Y,NA,,37.64572032,-119.7113904
E11-PILA28,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,cone-bearing,,,,MDM|EMS|EAS,2023-07-07,,,,,cones,,,,,69,measured,40.8,measured,NONE,NONE,0,0,0,0,N,99,Y,NA,,37.64571395,-119.7116415
E11-PILA29,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-07-07,,,,,"mech with pitch, lower clear pitch (likely growth)",,,,,32,measured,13.6,measured,NONE,NONE,0,0,0,0,N,100,Y,NA,MECH,37.64547533,-119.7109265
E11-PILA30,11,HumanObservation,PILA,"Pinus lambertiana Douglas, 1827",MDM|EMS|EAS,present,1,1,individual,yes,unrestricted,,,NA,,,,MDM|EMS|EAS,2023-07-07,,,,,"sunken bole, streaming pitch, bark sloughing, ribes near, dead branches, top 90% canopy is healthy; symptoms in lower 10%",,,,,54.6,measured,29.7,measured,NONE,NONE,1,0,0,0,N,97,N,0,,37.64556012,-119.7109483
